Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
1	Steven Adams\adamsst01	C	26	OKC	63	63	26.7	4.5	7.6	0.592	0	0	0.333	4.5	7.5	0.594	0.593	1.9	3.2	0.582	3.3	6	9.3	2.3	0.8	1.1	1.5	1.9	10.9
2	Bam Adebayo\adebaba01	PF	22	MIA	72	72	33.6	6.1	11	0.557	0	0.2	0.143	6.1	10.8	0.564	0.558	3.7	5.3	0.691	2.4	7.8	10.2	5.1	1.1	1.3	2.8	2.5	15.9
3	LaMarcus Aldridge\aldrila01	C	34	SAS	53	53	33.1	7.4	15	0.493	1.2	3	0.389	6.2	12	0.519	0.532	3	3.6	0.827	1.9	5.5	7.4	2.4	0.7	1.6	1.4	2.4	18.9
4	Kyle Alexander\alexaky01	C	23	MIA	2	0	6.5	0.5	1	0.5	0	0		0.5	1	0.5	0.5	0	0		1	0.5	1.5	0	0	0	0.5	0.5	1
5	Nickeil Alexander-Walker\alexani01	SG	21	NOP	47	1	12.6	2.1	5.7	0.368	1	2.8	0.346	1.1	2.8	0.391	0.455	0.5	0.8	0.676	0.2	1.6	1.8	1.9	0.4	0.2	1.1	1.2	5.7
6	Grayson Allen\allengr01	SG	24	MEM	38	0	18.9	3.1	6.6	0.466	1.5	3.7	0.404	1.6	2.9	0.545	0.58	1	1.2	0.867	0.2	2	2.2	1.4	0.3	0.1	0.9	1.4	8.7
7	Jarrett Allen\allenja01	C	21	BRK	70	64	26.5	4.3	6.6	0.649	0	0.1	0	4.3	6.6	0.658	0.649	2.4	3.9	0.633	3.1	6.5	9.6	1.6	0.6	1.3	1.1	2.3	11.1
8	Kadeem Allen\allenka01	PG	27	NYK	10	0	11.7	1.9	4.4	0.432	0.5	1.6	0.313	1.4	2.8	0.5	0.489	0.7	1.1	0.636	0.2	0.7	0.9	2.1	0.5	0.2	0.8	0.7	5
9	Al-Farouq Aminu\aminual01	PF	29	ORL	18	2	21.1	1.4	4.8	0.291	0.5	2	0.25	0.9	2.8	0.32	0.343	1.1	1.6	0.655	1.3	3.5	4.8	1.2	1	0.4	0.9	1.5	4.3
10	Justin Anderson\anderju01	SG	26	BRK	10	1	10.7	1	3.8	0.263	0.6	2.9	0.207	0.4	0.9	0.444	0.342	0.2	0.4	0.5	0.1	2	2.1	0.8	0	0.6	0.4	1.3	2.8
11	Kyle Anderson\anderky01	SF	26	MEM	67	28	19.9	2.3	4.9	0.474	0.4	1.3	0.282	2	3.7	0.541	0.511	0.8	1.2	0.667	0.9	3.4	4.3	2.4	0.8	0.6	1	1.7	5.8
12	Ryan Anderson\anderry01	C	31	HOU	2	0	7	1	3.5	0.286	0.5	2.5	0.2	0.5	1	0.5	0.357	0	0		0	3.5	3.5	1	0.5	0	0.5	0.5	2.5
13	Giannis Antetokounmpo\antetgi01	PF	25	MIL	63	63	30.4	10.9	19.7	0.553	1.4	4.7	0.304	9.5	15	0.631	0.589	6.3	10	0.633	2.2	11.4	13.6	5.6	1	1	3.7	3.1	29.5
14	Kostas Antetokounmpo\antetko01	PF	22	LAL	5	0	4	0.6	0.6	1	0	0		0.6	0.6	1	1	0.2	0.4	0.5	0.4	0.2	0.6	0.4	0	0	0.2	0.4	1.4
15	Thanasis Antetokounmpo\antetth01	SF	27	MIL	20	2	6.5	1.2	2.4	0.5	0	0.5	0	1.2	1.9	0.632	0.5	0.4	0.9	0.412	0.6	0.6	1.2	0.8	0.4	0.1	0.6	0.9	2.8
16	Carmelo Anthony\anthoca01	PF	35	POR	58	58	32.8	5.8	13.5	0.43	1.5	3.9	0.385	4.3	9.6	0.448	0.485	2.3	2.8	0.845	1.2	5.1	6.3	1.5	0.8	0.5	1.7	2.9	15.4
17	OG Anunoby\anunoog01	SF	22	TOR	69	68	29.9	4.1	8.2	0.505	1.3	3.3	0.39	2.9	4.9	0.583	0.584	1	1.5	0.706	1.2	4.1	5.3	1.6	1.4	0.7	1.1	2.4	10.6
18	Ryan Arcidiacono\arcidry01	PG	25	CHI	58	4	16	1.6	3.8	0.409	0.9	2.4	0.391	0.6	1.4	0.439	0.532	0.5	0.7	0.711	0.3	1.6	1.9	1.7	0.5	0.1	0.6	1.7	4.5
19	Trevor Ariza\arizatr01	SF	34	TOT	53	21	28.2	2.7	6.1	0.438	1.5	3.9	0.372	1.2	2.2	0.556	0.557	1.2	1.4	0.838	0.6	4	4.6	1.7	1.3	0.3	1.1	2.1	8
19	Trevor Ariza\arizatr01	SF	34	SAC	32	0	24.7	2	5.2	0.388	1.3	3.8	0.352	0.7	1.3	0.488	0.518	0.7	0.8	0.778	0.7	3.9	4.6	1.6	1.1	0.2	0.9	2	6
19	Trevor Ariza\arizatr01	SF	34	POR	21	21	33.4	3.7	7.6	0.491	1.6	4	0.4	2.1	3.5	0.595	0.597	2	2.2	0.872	0.6	4.1	4.8	2	1.6	0.4	1.3	2.3	11
20	D.J. Augustin\augusdj01	PG	32	ORL	57	13	24.9	3.2	8.1	0.399	1.2	3.5	0.348	2	4.6	0.438	0.475	2.8	3.2	0.89	0.4	1.8	2.1	4.6	0.6	0	1.5	1.3	10.5
21	Deandre Ayton\aytonde01	C	21	PHO	38	32	32.5	8.2	14.9	0.546	0.1	0.3	0.231	8.1	14.6	0.553	0.548	1.8	2.3	0.753	3.9	7.6	11.5	1.9	0.7	1.5	2.1	3.1	18.2
22	Dwayne Bacon\bacondw01	SG	24	CHO	39	11	17.6	2.2	6.3	0.348	0.5	1.7	0.284	1.7	4.5	0.373	0.387	0.9	1.4	0.66	0.4	2.2	2.6	1.3	0.6	0.1	0.9	1.3	5.7
23	Marvin Bagley III\baglema01	C	20	SAC	13	6	25.7	6	12.8	0.467	0.3	1.7	0.182	5.7	11.2	0.51	0.479	1.9	2.4	0.806	2.2	5.2	7.5	0.8	0.5	0.9	1.4	3.3	14.2
24	Lonzo Ball\balllo01	PG	22	NOP	63	54	32.1	4.4	10.9	0.403	2.3	6.3	0.375	2	4.6	0.442	0.511	0.7	1.2	0.566	1.1	5	6.1	7	1.4	0.6	3.1	2	11.8
25	Mo Bamba\bambamo01	C	21	ORL	62	0	14.2	2.1	4.6	0.462	0.6	1.7	0.346	1.5	2.9	0.531	0.526	0.5	0.7	0.674	1.6	3.3	4.9	0.7	0.4	1.4	0.7	1.9	5.4
26	J.J. Barea\bareajo01	PG	35	DAL	29	6	15.5	2.9	7.1	0.411	1.1	2.9	0.376	1.8	4.2	0.434	0.488	0.7	0.8	0.909	0.3	1.5	1.8	3.9	0.2	0.1	1.3	0.9	7.7
27	Harrison Barnes\barneha02	PF	27	SAC	72	72	34.5	5.1	11	0.46	1.4	3.7	0.381	3.7	7.3	0.501	0.525	3	3.7	0.801	1.1	3.9	4.9	2.2	0.6	0.2	1.2	1.3	14.5
28	RJ Barrett\barrerj01	SG	19	NYK	56	55	30.4	5.2	13	0.402	1.1	3.5	0.32	4.1	9.5	0.432	0.445	2.8	4.5	0.614	0.9	4.1	5	2.6	1	0.3	2.2	2.2	14.3
29	Will Barton\bartowi01	SF	29	DEN	58	58	33	5.7	12.7	0.45	1.9	5	0.375	3.9	7.8	0.498	0.523	1.8	2.3	0.767	1.3	5	6.3	3.7	1.1	0.5	1.5	2.1	15.1
30	Keita Bates-Diop\bateske01	PF-SF	24	TOT	44	0	16.9	2.3	5.3	0.427	0.8	2.3	0.33	1.5	3	0.504	0.5	1.2	1.7	0.72	0.6	2.3	2.9	0.7	0.4	0.5	0.4	1	6.5
30	Keita Bates-Diop\bateske01	PF	24	MIN	37	0	17.5	2.4	5.6	0.422	0.8	2.5	0.33	1.5	3	0.5	0.498	1.2	1.8	0.708	0.6	2.4	3	0.8	0.5	0.5	0.4	1	6.8
30	Keita Bates-Diop\bateske01	SF	24	DEN	7	0	14	1.9	4	0.464	0.4	1.3	0.333	1.4	2.7	0.526	0.518	1.1	1.4	0.8	0.6	1.9	2.4	0	0.3	0.6	0.4	1	5.3
31	Nicolas Batum\batumni01	SF	31	CHO	22	3	23	1.3	3.7	0.346	0.6	2.2	0.286	0.6	1.5	0.438	0.432	0.4	0.5	0.9	1.1	3.4	4.5	3	0.8	0.4	1	1.9	3.6
