Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
419,Juan Toscano-Anderson\toscaju01,SG,27,GSW,6,2,90,7,9,.778,2,4,.500,5,5,1.000,.889,3,5,.600,1,19,20,11,2,4,5,10,19
420,Karl-Anthony Towns\townska01,C,25,MIN,4,4,132,29,63,.460,6,16,.375,23,47,.489,.508,24,25,.960,16,34,50,17,2,11,10,11,88
421,Gary Trent Jr.\trentga02,SG,22,POR,9,0,217,36,79,.456,22,47,.468,14,32,.438,.595,8,12,.667,2,13,15,11,4,1,4,13,102
422,P.J. Tucker\tuckepj01,PF,35,HOU,9,9,284,17,34,.500,13,25,.520,4,9,.444,.691,3,5,.600,8,32,40,12,11,8,12,29,50
423,Myles Turner\turnemy01,C,24,IND,11,11,342,51,103,.495,15,48,.313,36,55,.655,.568,21,28,.750,16,56,72,13,17,46,13,39,138
424,Jonas Valanciunas\valanjo01,C,28,MEM,11,11,301,64,120,.533,4,13,.308,60,107,.561,.550,32,42,.762,31,87,118,20,9,11,26,39,164
425,Denzel Valentine\valende01,SG,27,CHI,8,0,149,22,48,.458,13,30,.433,9,18,.500,.594,2,2,1.000,2,32,34,13,8,1,4,6,59
426,Jarred Vanderbilt\vandeja01,PF,21,MIN,9,0,134,19,29,.655,0,0,,19,29,.655,.655,9,19,.474,12,34,46,12,10,4,6,15,47
427,Fred VanVleet\vanvlfr01,SG,26,TOR,10,10,358,78,173,.451,35,90,.389,43,83,.518,.552,18,22,.818,10,35,45,58,13,6,16,20,209
428,Devin Vassell\vassede01,SG,20,SAS,10,0,156,13,40,.325,8,19,.421,5,21,.238,.425,3,3,1.000,5,26,31,12,10,3,3,10,37
429,Gabe Vincent\vincega01,PG,24,MIA,2,1,52,11,26,.423,6,17,.353,5,9,.556,.538,3,4,.750,0,4,4,5,2,0,2,7,31
430,Nikola Vučević\vucevni01,C,30,ORL,11,11,346,100,199,.503,28,66,.424,72,133,.541,.573,20,26,.769,25,99,124,38,11,5,13,13,248
431,Dean Wade\wadede01,PF,24,CLE,11,0,136,11,30,.367,7,20,.350,4,10,.400,.483,2,2,1.000,3,14,17,7,5,1,5,10,31
432,Moritz Wagner\wagnemo01,C,23,WAS,5,0,68,11,17,.647,4,7,.571,7,10,.700,.765,6,8,.750,2,18,20,4,1,0,1,18,32
433,Lonnie Walker\walkelo01,SG,22,SAS,11,11,322,57,131,.435,21,52,.404,36,79,.456,.515,20,26,.769,5,29,34,20,7,7,10,24,155
434,John Wall\walljo01,PG,30,HOU,7,7,237,49,108,.454,10,31,.323,39,77,.506,.500,22,26,.846,5,28,33,36,9,7,24,9,130
435,Brad Wanamaker\wanambr01,PG,31,GSW,11,0,173,14,46,.304,6,18,.333,8,28,.286,.370,18,21,.857,3,19,22,30,10,2,8,17,52
436,T.J. Warren\warretj01,SF,27,IND,4,4,117,27,51,.529,0,7,.000,27,44,.614,.529,8,10,.800,2,12,14,5,2,0,4,16,62
437,P.J. Washington\washipj01,PF,22,CHO,12,12,338,50,121,.413,15,41,.366,35,80,.438,.475,32,44,.727,21,56,77,36,12,16,23,38,147
438,Yuta Watanabe\watanyu01,SF,26,TOR,5,0,58,4,15,.267,3,7,.429,1,8,.125,.367,0,0,,4,13,17,2,1,5,3,7,11
439,Tremont Waters\watertr01,PG,23,BOS,3,1,33,2,10,.200,1,4,.250,1,6,.167,.250,4,4,1.000,1,1,2,8,2,0,7,4,9
440,Paul Watson\watsopa01,SF,26,TOR,3,0,8,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,1,2,3,0,0,1,0,1,2
441,Russell Westbrook\westbru01,PG,32,WAS,7,7,260,51,135,.378,10,33,.303,41,102,.402,.415,23,35,.657,7,61,68,79,9,2,37,23,135
442,Coby White\whiteco01,PG,20,CHI,11,11,383,69,164,.421,27,76,.355,42,88,.477,.503,25,30,.833,6,51,57,68,3,1,33,26,190
443,Derrick White\whitede01,SG,26,SAS,1,0,23,3,9,.333,1,4,.250,2,5,.400,.389,2,2,1.000,0,1,1,1,0,2,2,1,9
444,Hassan Whiteside\whiteha01,C,31,SAC,9,0,114,23,44,.523,0,0,,23,44,.523,.523,12,24,.500,9,29,38,5,2,10,7,13,58
445,Andrew Wiggins\wiggian01,PF,25,GSW,11,11,358,72,167,.431,24,61,.393,48,106,.453,.503,29,40,.725,11,42,53,27,5,20,24,27,197
446,Grant Williams\willigr01,PF,22,BOS,8,0,153,18,40,.450,7,17,.412,11,23,.478,.538,2,5,.400,11,18,29,6,5,5,7,25,45
447,Kenrich Williams\willike04,PF,26,OKC,11,0,118,10,27,.370,3,9,.333,7,18,.389,.426,6,6,1.000,7,15,22,11,4,4,6,17,29
448,Lou Williams\willilo02,PG,34,LAC,12,0,236,41,94,.436,10,26,.385,31,68,.456,.489,20,25,.800,3,20,23,31,8,1,10,11,112
449,Patrick Williams\willipa01,PF,19,CHI,11,11,291,42,89,.472,11,24,.458,31,65,.477,.534,18,21,.857,8,30,38,11,11,8,18,28,113
450,Robert Williams\williro04,C,23,BOS,8,0,131,24,31,.774,0,1,.000,24,30,.800,.774,6,7,.857,20,32,52,5,9,12,11,10,54
451,Zion Williamson\willizi01,PF,20,NOP,9,9,286,78,140,.557,0,2,.000,78,138,.565,.557,41,66,.621,33,40,73,12,12,4,25,20,197
452,D.J. Wilson\wilsodj01,PF,24,MIL,7,0,71,11,26,.423,7,16,.438,4,10,.400,.558,1,2,.500,3,16,19,3,1,2,4,9,30
453,Dylan Windler\windldy01,SF,24,CLE,1,0,9,1,5,.200,1,4,.250,0,1,.000,.300,0,0,,0,0,0,0,2,0,1,0,3
454,Cassius Winston\winstca01,PG,22,WAS,1,0,2,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,1,0,0,0,1,0
455,James Wiseman\wisemja01,C,19,GSW,11,11,228,48,103,.466,6,15,.400,42,88,.477,.495,15,27,.556,15,55,70,3,4,17,17,36,117
456,Christian Wood\woodch01,C,25,HOU,8,8,263,74,140,.529,10,37,.270,64,103,.621,.564,23,32,.719,16,60,76,10,6,13,12,20,181
457,Robert Woodard\woodaro01,SF,21,SAC,4,0,14,5,10,.500,1,3,.333,4,7,.571,.550,0,2,.000,3,5,8,0,0,0,1,0,11
458,Delon Wright\wrighde01,SG,28,DET,11,6,289,28,74,.378,7,22,.318,21,52,.404,.426,20,23,.870,10,30,40,41,8,7,11,8,83
459,Thaddeus Young\youngth01,PF,32,CHI,7,0,177,33,55,.600,3,10,.300,30,45,.667,.627,6,7,.857,9,21,30,20,5,2,17,19,75
460,Trae Young\youngtr01,PG,22,ATL,10,10,330,72,173,.416,17,57,.298,55,116,.474,.465,87,99,.879,13,26,39,85,5,1,43,20,248
461,Cody Zeller\zelleco01,C,28,CHO,1,1,19,3,6,.500,0,2,.000,3,4,.750,.500,0,1,.000,1,2,3,0,3,1,1,1,6
462,Ivica Zubac\zubaciv01,C,23,LAC,12,0,216,32,47,.681,0,0,,32,47,.681,.681,26,33,.788,20,32,52,11,5,10,12,28,90

